epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.096,1.24517,1.43277,1.22684,0.60583,0.54674,0.58131,0.35445,1.08574,1.10613,1.11942,4.51537e-05,4.51537e-05,0.0667461
2,1219.36,1.12963,1.13725,1.17208,0.64928,0.58679,0.64849,0.41622,1.05163,0.86861,1.10584,8.14089e-05,8.14089e-05,0.033449
3,3405.98,1.0771,1.00667,1.14393,0.7593,0.73038,0.79536,0.52063,1.0169,0.77553,1.08004,0.000108714,0.000108714,0.000143008
4,5568.57,1.03395,0.90162,1.11616,0.76753,0.67811,0.78464,0.51233,1.00316,0.74708,1.08643,9.53273e-05,9.53273e-05,9.53273e-05
5,7114.48,0.98266,0.80667,1.08724,0.75365,0.76736,0.7945,0.53448,1.02412,0.76883,1.09318,8.19028e-05,8.19028e-05,8.19028e-05
6,7942.19,0.94913,0.7339,1.06699,0.77953,0.76125,0.79751,0.5375,1.03222,0.75009,1.11269,6.84784e-05,6.84784e-05,6.84784e-05
7,8866.63,0.91059,0.66007,1.04397,0.81466,0.75883,0.81337,0.54444,1.00777,0.70734,1.10306,5.50539e-05,5.50539e-05,5.50539e-05
8,9787.26,0.8747,0.60689,1.02136,0.79921,0.75101,0.80496,0.54302,1.01576,0.70156,1.10395,4.16294e-05,4.16294e-05,4.16294e-05
9,11261.5,0.8429,0.55096,1.0016,0.82641,0.75228,0.80869,0.55555,1.01206,0.6969,1.10167,2.82049e-05,2.82049e-05,2.82049e-05
10,12809.2,0.81275,0.50995,0.99107,0.81476,0.76238,0.81416,0.55806,1.0153,0.68164,1.1088,1.47805e-05,1.47805e-05,1.47805e-05
